id,article_id,action
224,5,delivered
225,2,delivered
226,1,delivered
227,2,delivered
228,1,delivered
229,3,delivered
230,3,delivered
231,1,delivered
232,3,open
233,4,click
234,5,delivered
235,4,open
236,1,open
237,1,delivered
238,4,delivered
239,5,delivered
240,4,open
241,1,delivered
242,5,delivered
243,4,open
244,3,click
245,4,delivered
246,1,delivered
247,2,delivered
248,2,delivered
249,2,delivered
250,2,delivered
251,2,delivered
252,1,delivered
253,2,delivered
254,3,delivered
255,4,delivered
256,4,delivered
257,2,open
258,4,open
259,3,delivered
260,4,delivered
261,1,delivered
262,3,click
263,5,open
264,3,delivered
265,4,delivered
266,3,open
267,1,open
268,4,open
269,4,delivered
270,4,delivered
271,4,delivered
272,3,delivered
273,5,open
274,2,delivered
275,5,open
276,1,open
277,4,open
278,2,open
279,5,open
280,4,delivered
281,2,delivered
282,3,delivered
283,3,delivered
284,4,delivered
285,1,open
286,2,delivered
287,1,delivered
288,3,delivered
289,3,open
290,1,delivered
291,2,delivered
292,4,open
293,5,click
294,3,open
295,3,delivered
296,1,open
297,2,delivered
298,2,delivered
299,5,open
300,2,open
301,5,delivered
302,1,open
303,2,delivered
304,5,delivered
305,1,delivered
306,4,delivered
307,1,open
308,5,delivered
309,1,delivered
310,1,open
311,4,open
312,1,delivered
313,3,open
314,2,click
315,5,delivered
316,1,open
317,3,delivered
318,5,open
319,1,open
320,3,open
321,5,delivered
322,2,delivered
323,3,open
324,3,click
325,3,delivered
326,2,delivered
327,4,delivered
328,2,click
329,1,click
330,1,click
331,2,open
332,5,delivered
333,4,delivered
334,3,delivered
335,4,open
336,1,delivered
337,1,delivered
338,5,delivered
339,1,delivered
340,5,delivered
341,1,delivered
342,1,delivered
343,2,delivered
344,2,delivered
345,5,open
346,5,delivered
347,2,delivered
348,3,delivered
349,1,delivered
350,3,delivered
351,1,open
352,2,delivered
353,1,open
354,2,delivered
355,4,open
356,4,click
357,2,click
358,5,click
359,2,delivered
360,3,delivered
361,5,delivered
362,1,open
363,5,open
364,1,click
365,4,delivered
366,4,delivered
367,3,open
368,2,open
369,2,delivered
370,5,delivered
371,4,open
372,2,open
373,4,delivered
374,4,delivered
375,3,delivered
376,3,open
377,3,open
378,1,delivered
379,2,click
380,5,open
381,3,delivered
382,1,open
383,3,open
384,3,delivered
385,3,open
386,5,delivered
387,5,open
388,3,open
389,5,open
390,5,delivered
391,4,delivered
392,3,delivered
393,3,delivered
394,2,delivered
395,4,delivered
396,4,delivered
397,1,open
398,2,delivered
399,3,click
400,4,click
401,3,delivered
402,4,delivered
403,1,open
404,1,delivered
405,2,open
406,1,delivered
407,5,delivered
408,3,delivered
409,5,delivered
410,3,delivered
411,3,delivered
412,3,delivered
413,2,delivered
414,1,open
415,2,delivered
416,4,open
417,2,delivered
418,2,delivered
419,1,open
420,1,delivered
421,3,delivered
422,5,delivered
423,2,open
424,5,open
425,3,delivered
426,4,delivered
427,4,open
428,2,delivered
429,5,delivered
430,2,open
431,4,open
432,5,open
433,2,delivered
434,4,delivered
435,3,click
436,5,delivered
437,2,delivered
438,4,delivered
439,1,click
440,3,delivered
441,3,delivered
442,1,delivered
443,3,delivered
444,3,open
445,5,delivered
446,3,delivered
447,5,open
448,5,delivered
449,5,delivered
450,4,open
451,4,open
452,4,delivered
453,2,open
454,1,delivered
455,5,delivered
456,5,delivered
457,1,delivered
458,1,delivered
459,2,open
460,5,delivered
461,2,open
462,5,delivered
463,1,delivered
464,2,delivered
465,1,open
466,3,click
467,5,open
468,4,click
469,5,delivered
470,5,delivered
471,5,open
472,4,delivered
473,2,delivered
474,1,open
475,3,delivered
476,1,delivered
477,3,delivered
478,2,delivered
479,2,delivered
480,4,delivered
481,2,delivered
482,4,open
483,3,open
484,4,delivered
485,2,delivered
486,3,delivered
487,2,delivered
488,5,click
489,1,delivered
490,5,delivered
491,3,delivered
492,5,open
493,5,open
494,5,delivered
495,3,delivered
496,4,delivered
497,2,open
498,2,delivered
499,5,delivered
500,3,delivered
501,3,delivered
502,3,delivered
503,3,open
504,4,open
505,4,delivered
506,1,delivered
507,2,delivered
508,5,open
509,1,open
510,1,open
511,2,delivered
512,5,click
513,5,delivered
514,2,open
515,1,open
516,3,open
517,5,delivered
518,5,open
519,4,delivered
520,4,open
521,1,delivered
522,4,open
523,3,open
524,2,open
525,2,click
526,5,open
527,2,delivered
528,2,delivered
529,5,delivered
530,3,delivered
531,2,click
532,2,open
533,2,delivered
534,1,open
535,5,delivered
536,3,open
537,3,open
538,1,delivered
539,3,open
540,1,delivered
541,5,delivered
542,1,open
543,3,delivered
544,5,delivered
545,3,delivered
546,2,delivered
547,2,open
548,5,delivered
549,5,open
550,3,delivered
551,5,open
552,1,delivered
553,5,delivered
554,3,open
555,1,open
556,5,open
557,3,delivered
558,4,open
559,3,delivered
560,1,open
561,4,delivered
562,5,open
563,2,delivered
564,2,open
565,4,delivered
566,2,open
567,2,open
568,1,open
569,5,open
570,5,delivered
571,3,delivered
572,2,delivered
573,1,delivered
574,3,delivered
575,4,open
576,5,delivered
577,2,open
578,5,open
579,5,delivered
580,4,open
581,2,delivered
582,5,open
583,4,delivered
584,4,open
585,5,delivered
586,1,delivered
587,5,delivered
588,3,delivered
589,1,delivered
590,2,delivered
591,2,delivered
592,4,delivered
593,4,delivered
594,1,delivered
595,5,delivered
596,2,open
597,4,delivered
598,3,delivered
599,1,click
600,4,delivered
601,2,delivered
602,3,delivered
603,1,click
604,5,click
605,2,click
606,2,open
607,3,click
608,3,open
609,1,delivered
610,2,delivered
611,1,open
612,2,delivered
613,5,click
614,5,delivered
615,3,click
616,4,click
617,2,delivered
618,3,delivered
619,5,delivered
620,1,delivered
621,5,open
622,4,open
623,1,delivered
624,3,open
625,3,delivered
626,4,delivered
627,3,open
628,5,delivered
629,2,click
630,3,open
631,1,delivered
632,2,open
633,5,delivered
634,2,delivered
635,4,open
636,4,delivered
637,2,delivered
638,4,delivered
639,5,delivered
640,3,delivered
641,2,delivered
642,1,delivered
643,4,delivered
644,2,open
645,2,delivered
646,2,open
647,4,delivered
648,1,click
649,4,delivered
650,2,delivered
651,3,delivered
652,1,delivered
653,5,delivered
654,1,delivered
655,1,open
656,3,delivered
657,4,click
658,1,delivered
659,2,delivered
660,1,delivered
661,1,delivered
662,2,delivered
663,3,open
664,3,delivered
665,5,delivered
666,2,open
667,1,delivered
668,5,delivered
669,1,delivered
670,2,delivered
671,3,open
672,2,open
673,1,open
674,4,delivered
675,2,delivered
676,5,click
677,3,open
678,2,open
679,1,open
680,1,delivered
681,4,open
682,3,delivered
683,1,delivered
684,1,open
685,2,delivered
686,2,open
687,2,delivered
688,1,delivered
689,4,delivered
690,1,delivered
691,5,delivered
692,2,open
693,3,delivered
694,4,delivered
695,2,delivered
696,1,delivered
697,2,click
698,4,open
699,2,open
700,4,open
701,4,delivered
702,2,open
703,2,delivered
704,2,delivered
705,4,open
706,4,delivered
707,4,open
708,5,open
709,2,delivered
710,1,click
711,1,delivered
712,3,delivered
713,1,delivered
714,5,click
715,1,delivered
716,1,click
717,4,open
718,1,delivered
719,5,open
720,3,open
721,5,delivered
722,4,click
723,4,click
724,1,open
725,5,delivered
726,3,click
727,1,open
728,2,open
729,2,delivered
730,1,delivered
731,4,delivered
732,3,delivered
733,1,open
734,2,open
735,3,delivered
736,5,click
737,3,delivered
738,1,delivered
739,3,delivered
740,1,delivered
741,1,open
742,5,delivered
743,2,open
744,5,delivered
745,5,open
746,1,delivered
747,1,click
748,3,delivered
749,2,open
750,2,open
751,4,open
752,5,delivered
753,1,open
754,1,open
755,1,delivered
756,2,delivered
757,3,click
758,5,delivered
759,4,delivered
760,5,open
761,3,delivered
762,1,click
763,3,delivered
764,4,delivered
765,1,delivered
766,1,open
767,1,click
768,4,open
769,1,click
770,2,delivered
771,1,delivered
772,5,open
773,5,open
774,1,open
775,3,delivered
776,4,delivered
777,1,open
778,5,click
779,1,delivered
780,1,delivered
781,4,delivered
782,2,open
783,5,delivered
784,1,open
785,1,open
786,4,open
787,2,delivered
788,5,open
789,4,delivered
790,5,click
791,5,click
792,3,delivered
793,2,delivered
794,5,click
795,4,delivered
796,5,open
797,5,open
798,5,open
799,3,delivered
800,5,delivered
801,2,delivered
802,2,open
803,5,delivered
804,5,delivered
805,1,click
806,3,delivered
807,5,open
808,2,click
809,4,delivered
810,5,delivered
811,1,delivered
812,2,open
813,2,click
814,2,delivered
815,1,open
816,2,delivered
817,3,delivered
818,4,click
819,1,open
820,3,delivered
821,2,delivered
822,1,delivered
823,1,open
824,5,click
825,3,delivered
826,5,delivered
827,4,delivered
828,4,delivered
829,1,delivered
830,1,delivered
831,4,delivered
832,2,delivered
833,4,click
834,3,open
835,2,delivered
836,1,open
837,5,delivered
838,4,delivered
839,4,open
840,1,delivered
841,3,delivered
842,3,delivered
843,4,delivered
844,3,delivered
845,3,delivered
846,4,open
847,5,delivered
848,1,delivered
849,5,delivered
850,5,open
851,2,delivered
852,3,delivered
853,3,delivered
854,2,open
855,1,delivered
856,3,delivered
857,2,click
858,1,delivered
859,4,delivered
860,3,open
861,2,open
862,2,delivered
863,4,delivered
864,3,delivered
865,4,click
866,4,open
867,1,click
868,2,open
869,3,delivered
870,2,delivered
871,1,open
872,4,delivered
873,1,open
874,1,click
875,2,click
876,2,delivered
877,1,click
878,5,delivered
879,4,open
880,5,delivered
881,3,delivered
882,5,delivered
883,1,open
884,4,open
885,3,click
886,3,open
887,4,open
888,2,delivered
889,1,delivered
890,4,delivered
891,1,open
892,4,delivered
893,2,delivered
894,3,delivered
895,5,open
896,4,open
897,2,open
898,1,delivered
899,4,open
900,5,open
901,4,click
902,1,delivered
903,2,open
904,2,open
905,4,delivered
906,2,open
907,3,delivered
908,5,open
909,1,delivered
910,5,delivered
911,2,open
912,3,open
913,4,delivered
914,2,click
915,4,delivered
916,2,open
917,4,delivered
918,4,delivered
919,1,open
920,3,delivered
921,1,delivered
922,5,delivered
923,1,click
924,4,delivered
925,4,delivered
926,4,click
927,3,delivered
928,4,delivered
929,2,delivered
930,2,delivered
931,2,delivered
932,1,delivered
933,2,delivered
934,4,open
935,5,delivered
936,5,delivered
937,5,delivered
938,2,open
939,4,delivered
940,1,delivered
941,3,delivered
942,5,delivered
943,2,delivered
944,3,delivered
945,3,open
946,1,click
947,3,click
948,4,delivered
949,4,delivered
950,4,delivered
951,2,open
952,3,open
953,5,delivered
954,2,delivered
955,3,open
956,4,delivered
957,2,open
958,3,delivered
959,1,click
960,5,delivered
961,1,delivered
962,1,delivered
963,5,delivered
964,1,open
965,2,delivered
966,2,delivered
967,4,delivered
968,1,delivered
969,4,delivered
970,2,open
971,5,delivered
972,2,open
973,5,delivered
974,4,delivered
975,1,open
976,3,open
977,2,click
978,2,delivered
979,3,delivered
980,4,delivered
981,2,delivered
982,4,delivered
983,5,delivered
984,5,delivered
985,3,delivered
986,5,delivered
987,4,open
988,5,delivered
989,5,delivered
990,5,open
991,2,delivered
992,4,click
993,3,click
994,5,delivered
995,5,open
996,4,delivered
997,3,delivered
998,2,delivered
999,5,delivered
1000,1,delivered
1001,3,open
1002,2,open
1003,5,delivered
1004,4,open
1005,3,open
1006,3,open
1007,5,delivered
1008,5,open
1009,5,delivered
1010,2,delivered
1011,4,click
1012,4,delivered
1013,4,click
1014,2,delivered
1015,5,delivered
1016,5,delivered
1017,5,click
1018,1,delivered
1019,1,delivered
1020,5,delivered
1021,1,open
1022,3,delivered
1023,3,delivered
1024,1,click
1025,4,delivered
1026,2,delivered
1027,3,open
1028,1,delivered
1029,3,delivered
1030,4,delivered
1031,1,open
1032,2,delivered
1033,2,delivered
1034,3,open
1035,2,open
1036,4,delivered
1037,1,open
1038,2,open
1039,5,delivered
1040,2,delivered
1041,2,open
1042,3,delivered
1043,3,delivered
1044,1,open
1045,5,delivered
1046,1,delivered
1047,3,delivered
1048,4,click
1049,2,open
1050,4,open
1051,4,open
1052,5,delivered
1053,4,delivered
1054,4,open
1055,4,open
1056,4,click
1057,3,click
1058,2,delivered
1059,1,open
1060,1,open
1061,1,delivered
1062,1,delivered
1063,2,delivered
1064,1,open
1065,5,delivered
1066,3,open
1067,5,open
1068,3,delivered
1069,5,open
1070,3,delivered
1071,2,delivered
1072,3,open
1073,3,delivered
1074,4,open
1075,4,delivered
1076,4,open
1077,2,click
1078,4,delivered
1079,3,delivered
1080,1,delivered
1081,2,delivered
1082,4,delivered
1083,5,delivered
1084,3,delivered
1085,5,delivered
1086,2,delivered
1087,3,delivered
1088,1,delivered
1089,4,delivered
1090,4,delivered
1091,3,delivered
1092,5,delivered
1093,4,open
1094,4,delivered
1095,4,delivered
1096,4,open
1097,5,open
1098,2,open
1099,2,delivered
1100,4,delivered
1101,4,delivered
1102,2,delivered
1103,5,delivered
1104,2,click
1105,4,delivered
1106,4,delivered
1107,2,delivered
1108,1,delivered
1109,4,delivered
1110,1,open
1111,4,open
1112,5,delivered
1113,5,delivered
1114,3,delivered
1115,4,delivered
1116,4,delivered
1117,3,click
1118,1,delivered
1119,1,open
1120,3,delivered
1121,1,open
1122,2,open
1123,3,delivered
1124,2,open
1125,1,open
1126,3,open
1127,2,open
1128,1,click
1129,3,delivered
1130,3,open
1131,3,delivered
1132,3,delivered
1133,2,delivered
1134,2,open
1135,5,open
1136,1,open
1137,1,delivered
1138,1,delivered
1139,5,delivered
1140,2,delivered
1141,4,delivered
1142,4,open
1143,4,delivered
1144,4,click
1145,1,open
1146,3,click
1147,5,delivered
1148,5,click
1149,1,open
1150,1,delivered
1151,1,delivered
1152,2,click
1153,3,delivered
1154,4,open
1155,2,open
1156,1,open
1157,5,delivered
1158,1,open
1159,5,delivered
1160,2,delivered
1161,3,delivered
1162,2,open
1163,3,delivered
1164,1,open
1165,3,delivered
1166,4,delivered
1167,5,delivered
1168,2,delivered
1169,1,open
1170,2,open
1171,1,delivered
1172,5,delivered
1173,4,open
1174,5,open
1175,4,delivered
1176,4,click
1177,3,open
1178,5,delivered
1179,2,delivered
1180,2,open
1181,1,delivered
1182,3,delivered
1183,4,delivered
1184,4,delivered
1185,5,delivered
1186,5,delivered
1187,1,open
1188,3,delivered
1189,2,open
1190,2,delivered
1191,5,delivered
1192,5,delivered
1193,4,delivered
1194,5,delivered
1195,1,delivered
1196,4,open
1197,1,open
1198,2,delivered
1199,4,click
1200,5,delivered
1201,1,open
1202,3,click
1203,1,delivered
1204,5,delivered
1205,5,open
1206,1,delivered
1207,2,open
1208,4,open
1209,5,open
1210,2,delivered
1211,1,delivered
1212,2,open
1213,3,delivered
1214,2,delivered
1215,3,delivered
1216,5,delivered
1217,3,click
1218,5,delivered
1219,5,delivered
1220,2,open
1221,1,delivered
1222,1,delivered
1223,3,click
1224,5,click
1225,4,delivered
1226,4,open
1227,3,click
1228,2,open
1229,2,delivered
1230,4,open
1231,1,delivered
1232,3,delivered
1233,1,delivered
1234,4,open
1235,5,delivered
1236,2,delivered
1237,3,open
1238,2,delivered
1239,2,delivered
1240,2,open
1241,3,delivered
1242,4,open
1243,2,delivered
1244,5,open
1245,5,delivered
1246,4,delivered
1247,3,open
1248,5,delivered
1249,5,delivered
1250,4,delivered
1251,4,delivered
1252,4,delivered
1253,2,delivered
1254,5,open
1255,3,delivered
1256,1,open
1257,4,delivered
1258,4,delivered
1259,1,delivered
1260,1,delivered
1261,5,click
1262,3,delivered
1263,2,open
1264,1,open
1265,2,open
1266,3,delivered
1267,2,click
1268,3,click
1269,1,delivered
1270,2,delivered
1271,2,open
1272,4,delivered
1273,5,open
1274,4,delivered
1275,3,delivered
1276,2,delivered
1277,4,open
1278,1,delivered
1279,2,delivered
1280,5,click
1281,1,delivered
1282,5,open
1283,1,open
1284,1,delivered
1285,2,delivered
1286,1,delivered
1287,3,delivered
1288,4,delivered
1289,1,open
1290,5,delivered
1291,1,delivered
1292,5,delivered
1293,2,delivered
1294,2,delivered
1295,5,delivered
1296,2,open
1297,1,delivered
1298,1,delivered
1299,2,click
1300,2,delivered
1301,5,delivered
1302,5,delivered
1303,2,delivered
1304,1,delivered
1305,2,open
1306,4,delivered
1307,1,delivered
1308,2,delivered
1309,3,click
1310,3,delivered
1311,2,delivered
1312,4,delivered
1313,4,delivered
1314,1,open
1315,5,delivered
1316,3,open
1317,1,delivered
1318,4,open
1319,2,delivered
1320,2,open
1321,3,delivered
1322,4,delivered
1323,2,delivered
1324,3,open
1325,1,click
1326,1,open
1327,1,delivered
1328,3,delivered
1329,4,open
1330,4,delivered
1331,4,open
1332,4,delivered
1333,2,open
1334,1,delivered
1335,1,open
1336,4,delivered
1337,1,delivered
1338,5,open
1339,3,open
1340,2,delivered
1341,3,open
1342,1,delivered
1343,3,open
1344,3,delivered
1345,4,open
1346,4,delivered
1347,4,delivered
1348,5,open
1349,2,click
1350,4,delivered
1351,2,open
1352,2,delivered
1353,5,delivered
1354,3,delivered
1355,2,delivered
1356,2,open
1357,1,open
1358,1,delivered
1359,3,open
1360,5,open
1361,5,open
1362,3,open
1363,5,delivered
1364,4,click
1365,3,delivered
1366,2,open
1367,2,open
1368,3,click
1369,1,open
1370,4,delivered
1371,2,delivered
1372,2,delivered
1373,5,delivered
1374,4,delivered
1375,3,delivered
1376,5,open
1377,4,delivered
1378,4,delivered
1379,5,open
1380,4,open
1381,1,delivered
1382,5,open
1383,2,delivered
1384,4,delivered
1385,4,open
1386,2,open
1387,2,delivered
1388,5,delivered
1389,3,delivered
1390,3,open
1391,1,delivered
1392,1,delivered
1393,2,open
1394,2,open
1395,1,open
1396,4,open
1397,1,delivered
1398,1,open
1399,4,delivered
1400,5,delivered
1401,5,open
1402,2,open
1403,4,delivered
1404,5,delivered
1405,4,delivered
1406,1,open
1407,3,click
1408,5,click
1409,5,delivered
1410,3,delivered
1411,1,delivered
1412,2,open
1413,2,open
1414,2,delivered
1415,1,open
1416,5,click
1417,3,delivered
1418,1,delivered
1419,3,delivered
1420,5,open
1421,3,open
1422,5,open
1423,5,open
1424,3,open
1425,1,click
1426,4,open
1427,4,delivered
1428,4,delivered
1429,4,delivered
1430,1,open
1431,1,open
1432,5,delivered
1433,5,open
1434,5,delivered
1435,5,open
1436,5,delivered
1437,4,delivered
1438,5,delivered
1439,4,delivered
1440,1,click
1441,1,delivered
1442,5,delivered
1443,3,delivered
1444,5,delivered
1445,4,delivered
1446,1,delivered
1447,2,delivered
1448,5,open
1449,1,delivered
1450,2,open
1451,2,delivered
1452,4,delivered
1453,1,click
1454,2,open
1455,3,open
1456,3,open
1457,1,open
1458,3,open
1459,2,delivered
1460,3,delivered
1461,5,open
1462,5,open
1463,5,delivered
1464,5,click
1465,5,delivered
1466,2,delivered
1467,3,delivered
1468,4,delivered
1469,5,delivered
1470,2,open
1471,2,delivered
1472,5,open
1473,5,delivered
1474,4,delivered
1475,4,delivered
1476,4,delivered
1477,3,open
1478,1,delivered
1479,5,delivered
1480,1,open
1481,1,delivered
1482,1,delivered
1483,5,delivered
1484,2,delivered
1485,5,delivered
1486,1,open
1487,4,open
1488,4,delivered
1489,4,delivered
1490,1,open
1491,4,open
1492,4,open
1493,2,click
1494,3,delivered
1495,3,delivered
1496,1,open
1497,5,delivered
1498,5,open
1499,3,delivered
1500,1,delivered
1501,1,open
1502,1,delivered
1503,3,delivered
1504,3,open
1505,3,open
1506,5,delivered
1507,1,delivered
1508,5,open
1509,4,delivered
1510,1,delivered
1511,5,delivered
1512,3,delivered
1513,2,delivered
1514,4,open
1515,5,delivered
1516,2,open
1517,3,delivered
1518,4,delivered
1519,5,open
1520,5,open
1521,2,open
1522,3,delivered
1523,3,delivered
1524,4,delivered
1525,2,delivered
1526,1,delivered
1527,3,open
1528,1,open
1529,4,delivered
1530,5,delivered
1531,1,open
1532,2,delivered
1533,4,delivered
1534,1,delivered
1535,3,delivered
1536,1,open
1537,2,open
1538,2,click
1539,2,delivered
1540,2,delivered
1541,1,open
1542,1,open
1543,4,open
1544,3,open
1545,3,open
1546,3,open
1547,2,click
1548,2,delivered
1549,2,open
1550,5,delivered
1551,2,delivered
1552,1,delivered
1553,2,click
1554,1,delivered
1555,5,open
1556,1,open
1557,1,delivered
1558,3,open
1559,4,open
1560,1,delivered
1561,1,delivered
1562,4,delivered
1563,1,click
1564,3,delivered
1565,3,delivered
1566,4,open
1567,2,delivered
1568,4,delivered
1569,3,delivered
1570,5,delivered
1571,2,open
1572,4,delivered
1573,1,delivered
1574,4,delivered
1575,2,open
1576,1,open
1577,1,open
1578,3,open
1579,5,delivered
1580,1,delivered
1581,4,open
1582,4,open
1583,1,delivered
1584,1,click
1585,4,click
1586,5,delivered
1587,3,delivered
1588,2,delivered
1589,1,delivered
1590,2,delivered
1591,5,delivered
1592,4,delivered
1593,2,delivered
1594,3,delivered
1595,4,delivered
1596,1,delivered
1597,2,click
1598,3,open
1599,4,delivered
1600,4,delivered
1601,1,click
1602,1,open
1603,4,delivered
1604,2,delivered
1605,3,delivered
1606,2,delivered
1607,1,click
1608,5,delivered
1609,5,open
1610,5,click
1611,1,click
1612,2,open
1613,1,open
1614,1,delivered
1615,3,click
1616,1,open
1617,5,delivered
1618,4,open
1619,5,delivered
1620,2,delivered
1621,1,delivered
1622,4,open
1623,3,delivered
1624,4,delivered
1625,3,delivered
1626,2,delivered
1627,3,delivered
1628,1,delivered
1629,1,delivered
1630,3,open
1631,2,delivered
1632,3,delivered
1633,4,click
1634,2,delivered
1635,1,delivered
1636,1,open
1637,4,delivered
1638,1,open
1639,1,delivered
1640,2,delivered
1641,3,delivered
1642,5,open
1643,5,open
1644,2,click
1645,3,open
1646,4,open
1647,1,open
1648,1,open
1649,3,open
1650,2,delivered
1651,5,click
1652,2,delivered
1653,5,open
1654,3,open
1655,4,delivered
1656,2,delivered
1657,3,open
1658,4,delivered
1659,5,delivered
1660,3,open
1661,1,click
1662,3,delivered
1663,3,open
1664,4,click
1665,1,delivered
1666,3,delivered
1667,4,open
1668,5,delivered
1669,5,click
1670,1,delivered
1671,5,open
1672,1,delivered
1673,4,open
1674,1,click
1675,1,delivered
1676,5,delivered
1677,3,delivered
1678,2,open
1679,3,delivered
1680,3,delivered
1681,2,click
1682,2,delivered
1683,1,delivered
1684,1,open
1685,2,delivered
1686,4,click
1687,5,delivered
1688,5,delivered
1689,5,delivered
1690,2,delivered
1691,2,delivered
1692,1,open
1693,4,delivered
1694,5,open
1695,1,delivered
1696,4,open
1697,5,click
1698,5,delivered
1699,2,click
1700,3,open
1701,5,delivered
1702,1,delivered
1703,3,click
1704,4,open
1705,4,delivered
1706,5,delivered
1707,3,open
1708,3,open
1709,3,delivered
1710,3,delivered
1711,1,open
1712,3,open
1713,3,delivered
1714,2,open
1715,1,delivered
1716,5,delivered
1717,2,delivered
1718,2,open
1719,4,delivered
1720,3,delivered
1721,5,delivered
1722,1,delivered
1723,1,delivered
1724,1,open
1725,3,delivered
1726,2,delivered
1727,5,delivered
1728,1,delivered
1729,3,open
1730,4,delivered
1731,4,delivered
1732,1,open
1733,1,delivered
1734,2,delivered
1735,2,delivered
1736,5,delivered
1737,4,delivered
1738,1,delivered
1739,3,delivered
1740,3,open
1741,2,delivered
1742,2,open
1743,1,delivered
1744,1,open
1745,5,open
1746,3,delivered
1747,2,delivered
1748,2,delivered
1749,2,delivered
1750,4,delivered
1751,2,open
1752,1,delivered
1753,2,open
1754,2,delivered
1755,3,delivered
1756,5,delivered
1757,4,open
1758,3,delivered
1759,1,delivered
1760,5,delivered
1761,2,delivered
1762,2,open
1763,1,click
1764,5,open
1765,1,delivered
1766,2,open
1767,2,open
1768,1,delivered
1769,2,open
1770,3,delivered
1771,3,delivered
1772,3,delivered
1773,2,delivered
1774,4,delivered
1775,4,open
1776,1,delivered
1777,3,delivered
1778,4,delivered
1779,1,delivered
1780,2,open
1781,3,delivered
1782,1,open
1783,1,open
1784,3,click
1785,3,delivered
1786,4,delivered
1787,3,click
1788,5,delivered
1789,1,delivered
1790,4,click
1791,1,delivered
1792,1,delivered
1793,4,delivered
1794,1,open
1795,4,delivered
1796,5,delivered
1797,2,delivered
1798,2,open
1799,3,delivered
1800,2,open
1801,2,delivered
1802,2,delivered
1803,3,delivered
1804,4,delivered
1805,2,delivered
1806,1,open
1807,5,delivered
1808,3,delivered
1809,4,open
1810,3,delivered
1811,3,delivered
1812,5,open
1813,1,delivered
1814,4,delivered
1815,1,open
1816,3,click
1817,3,click
1818,1,open
1819,5,open
1820,2,delivered
1821,1,delivered
1822,3,click
1823,2,delivered
1824,3,delivered
1825,4,delivered
1826,5,delivered
1827,2,click
1828,3,open
1829,4,delivered
1830,2,open
1831,1,delivered
1832,2,delivered
